Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-10-09,145.92,146.462,144.934,145.546,143371800,0,0
2013-10-10,145.66,146.518,145.002,145.816,147223200,0,0
2013-10-11,145.862,146.738,145.218,146.054,148855600,0,0
2013-10-14,146.174,147.196,145.538,146.666,152017800,0,0
2013-10-15,146.716,147.812,146.256,147.402,147511800,0,0
2013-10-16,147.574,148.85,147.322,148.53,146052400,0,0
2013-10-17,148.284,149.558,148.04,149.236,132739200,0,0
2013-10-18,149.146,150.288,148.866,149.956,139394400,0,0
2013-10-21,150.06,150.928,149.724,150.558,137794000,0,0
2013-10-22,150.828,151.762,150.588,151.552,132029600,0,0
2013-10-23,151.54,152.238,151.166,151.988,120791200,0,0
2013-10-24,152.16,152.596,151.718,152.326,108983400,0,0
2013-10-25,152.448,152.856,152.006,152.598,100045200,0,0
2013-10-28,152.698,153.156,152.302,152.918,96220200,0,0
2013-10-29,152.998,153.384,152.642,153.226,88367800,0,0
2013-10-30,153.446,153.84,152.938,153.526,95271400,0,0
2013-10-31,153.66,154.104,153.116,153.636,107960400,0,0
2013-11-01,153.748,154.21,153.126,153.682,117796400,0,0
2013-11-04,153.888,154.284,153.174,153.786,117936000,0,0
2013-11-05,153.802,154.198,153.032,153.628,117620800,0,0
2013-11-06,153.742,154.196,153.186,153.782,107090000,0,0
2013-11-07,153.976,154.328,153.052,153.632,111731000,0,0
2013-11-08,153.776,154.45,152.988,153.82,110512600,0,0
2013-11-11,153.85,154.56,153.15,153.906,105900000,0,0
2013-11-12,153.99,154.666,153.29,154.026,105533000,0,0
2013-11-13,153.826,154.83,153.212,154.236,108832200,0,0
2013-11-14,154.008,155.14,153.82,154.994,98119200,0,0
2013-11-15,154.826,155.63,154.6,155.476,91340200,0,0
2013-11-18,155.39,156.148,154.968,155.842,99776600,0,0
2013-11-19,155.806,156.586,155.378,156.204,101756800,0,0
2013-11-20,156.38,156.846,155.706,156.22,105969800,0,0
2013-11-21,156.456,156.956,155.812,156.33,103851000,0,0
2013-11-22,156.53,157.08,155.888,156.462,99546600,0,0
2013-11-25,156.666,157.196,156.124,156.672,94484600,0,0
2013-11-26,156.908,157.432,156.418,156.96,93105200,0,0
2013-11-27,157.166,157.66,156.884,157.422,79883400,0,0
2013-11-29,157.574,157.956,157.222,157.612,72489380,0,0
2013-12-02,157.766,158.06,157.306,157.564,76175380,0,0
2013-12-03,157.558,157.924,157.096,157.412,83590780,0,0
2013-12-04,157.276,157.794,156.738,157.246,90798580,0,0
2013-12-05,157.022,157.534,156.41,156.866,100425380,0,0
2013-12-06,156.91,157.422,156.296,156.856,114796800,0,0
2013-12-09,156.976,157.464,156.454,157.006,108876400,0,0
2013-12-10,157.158,157.634,156.71,157.18,101759000,0,0
2013-12-11,157.458,157.698,156.736,157.004,103270600,0,0
2013-12-12,157.324,157.544,156.56,156.862,104996800,0,0
2013-12-13,156.946,157.118,156.146,156.37,101012800,0,0
2013-12-16,156.508,156.794,155.752,155.99,106227000,0,0
2013-12-17,156.228,156.454,155.336,155.624,108009000,0,0
2013-12-18,155.896,156.608,155.13,156.144,128872000,0,0
2013-12-19,156.338,157.104,155.644,156.73,133065240,0,0
2013-12-20,156.89,157.856,156.302,157.502,150921040,0.196,0
2013-12-23,157.672,158.522,157.028,158.252,148801640,0.196,0
2013-12-24,158.396,159.322,157.946,159.17,139898200,0.196,0
2013-12-26,159.34,159.886,159.164,159.72,105590000,0.196,0
2013-12-27,160.024,160.492,159.852,160.306,90646560,0.196,0
2013-12-30,160.582,160.848,160.38,160.702,62600560,0,0
2013-12-31,160.866,161.206,160.706,161.08,62704940,0,0
2014-01-02,161.118,161.392,160.698,161.078,77558560,0,0
2014-01-03,161.1,161.328,160.578,160.908,81163680,0,0
2014-01-06,160.992,161.218,160.302,160.646,90406520,0,0
2014-01-07,160.854,161.178,160.192,160.586,96263960,0,0
2014-01-08,160.746,161.028,160.01,160.382,98356440,0,0
2014-01-09,160.77,161.038,160.066,160.508,92565740,0,0
2014-01-10,160.896,161.146,160.132,160.726,96692900,0,0
2014-01-13,160.928,161.256,160.002,160.61,105065660,0,0
2014-01-14,160.788,161.252,159.826,160.644,108840040,0,0
2014-01-15,160.902,161.446,159.97,160.844,109228740,0,0
2014-01-16,160.932,161.54,160.15,160.982,105550180,0,0
2014-01-17,160.958,161.58,160.204,160.894,106714640,0,0
2014-01-21,161.138,161.682,160.504,161.33,94460480,0,0
2014-01-22,161.524,161.822,160.848,161.44,85711440,0,0
2014-01-23,161.396,161.552,160.516,161.112,92505660,0,0
2014-01-24,160.926,161.026,159.64,160.142,119782960,0,0
2014-01-27,160.042,160.162,158.554,159.156,134381840,0,0
2014-01-28,158.894,159.204,157.69,158.26,138750240,0,0
2014-01-29,157.682,158.148,156.458,157.042,169815520,0,0
2014-01-30,156.886,157.52,155.834,156.418,167103760,0,0
2014-01-31,156.082,157.104,155.5,156.294,164303920,0,0
2014-02-03,155.892,156.904,154.924,155.622,179102720,0,0
2014-02-04,155.332,156.298,154.22,154.978,190012560,0,0
2014-02-05,154.842,155.774,153.664,154.596,179539200,0,0
2014-02-06,154.272,155.366,153.132,154.29,182327100,0,0
2014-02-07,154.498,155.468,153.274,154.552,177548960,0,0
2014-02-10,154.8,155.766,154.216,155.574,145025300,0,0
2014-02-11,155.714,156.922,155.256,156.728,135585640,0,0
2014-02-12,157.024,158.196,156.658,157.938,121683080,0,0
2014-02-13,157.946,159.198,157.64,158.906,115216000,0,0
2014-02-14,158.74,159.986,158.504,159.668,100358240,0,0
2014-02-18,159.526,160.76,159.282,160.41,98006660,0,0
2014-02-19,160.156,161.2,159.778,160.592,99748700,0,0
2014-02-20,160.334,161.498,159.934,160.948,101804780,0,0
2014-02-21,160.966,161.794,160.454,161.102,105319620,0,0
2014-02-24,161.22,162.106,160.724,161.258,108832720,0,0
2014-02-25,161.374,162.298,160.826,161.364,116157540,0,0
2014-02-26,161.61,162.412,161.082,161.684,110588120,0,0
2014-02-27,161.84,162.648,161.392,161.984,108364660,0,0
2014-02-28,162.076,163.044,161.612,162.406,114909780,0,0
2014-03-03,162.14,162.922,161.532,162.418,125646700,0,0
2014-03-04,162.442,163.342,161.974,162.898,135738880,0,0
2014-03-05,162.904,163.776,162.52,163.408,133678820,0,0
2014-03-06,163.54,164.256,163.118,163.822,131405960,0,0
2014-03-07,164.096,164.574,163.536,164.166,124140260,0,0
2014-03-10,164.678,165.062,164.12,164.724,105578400,0,0
2014-03-11,164.968,165.19,164.128,164.662,91871040,0,0
2014-03-12,164.718,165.064,163.858,164.578,95160540,0,0
2014-03-13,164.652,164.956,163.312,164.052,109660100,0,0
2014-03-14,163.93,164.402,162.788,163.422,117541320,0,0
2014-03-17,163.512,164.146,162.512,163.1,122225380,0,0
2014-03-18,163.208,164.006,162.462,163.176,122784480,0,0
2014-03-19,163.446,164.108,162.386,163.068,137073060,0,0
2014-03-20,163.168,164.09,162.606,163.52,129518400,0,0
2014-03-21,163.816,164.8,163.028,163.934,131360080,0.165,0
2014-03-24,164.18,164.996,163.016,163.92,135970380,0.165,0
2014-03-25,164.266,164.97,162.942,163.826,136379860,0.165,0
2014-03-26,164.3,165.01,162.988,163.674,125095000,0.165,0
2014-03-27,164.18,164.706,162.776,163.26,130123400,0.165,0
2014-03-28,163.722,164.248,162.594,163.134,117826200,0,0
2014-03-31,163.692,164.29,162.752,163.412,113493000,0,0
2014-04-01,163.912,164.54,163.056,163.754,110561200,0,0
2014-04-02,164.166,164.856,163.624,164.442,102347400,0,0
2014-04-03,164.944,165.54,164.356,165.156,89357800,0,0
2014-04-04,165.744,166.118,164.55,165.316,102905600,0,0
2014-04-07,165.618,165.934,164.276,164.846,111117200,0,0
2014-04-08,165.026,165.412,163.676,164.292,115810600,0,0
